samples,P1,P11,P12,P14,P15,P16,P18,P2,P22,P24,P26,P27,P29,P3,P30,P4,P5,P6,P9,
423,0,0,0.057208238,0.224008433,0.359141401,0.478134111,0.150840396,0.061609549,0.178571429,0,0.161616162,0,0.127809138,0.185076134,0,0,0.584453536,0.084502282,0.113977205,
4472,0.05083238,1.261954057,0,0,0.292324397,0,0,0,0.433673469,0.160378799,0.060606061,0.054473648,0,0.227138891,0,0.008165932,0.029222677,0.532364374,0,
1792,1.677468547,0,0,0,0,0,0,0,0,0,0.404040404,0,0,0,0,0,0,0,0,
5338,0,0,0.028604119,0.362366583,0.192098889,0.594752187,0.136474644,0.053908356,0.12755102,0,0.171717172,0,0.181062946,0.243963994,0,0,0.438340152,0.101402738,0.125974805,
5576,0.953107129,0,0,0.395309,0.175394638,0.005830904,0,0.130920293,0,0,0.404040404,0,0.426030461,0.60570371,0,0,0,0,0,
3819,0.10166476,0.167603273,0.314645309,0.283304783,0.158690387,0,0.14365752,0.207932229,0.357142857,0.33603177,0,0.381315539,0.095856854,0.025237655,0.180591199,0.122488976,0.029222677,0.22815616,0.065986803,
6055,0,0.009859016,0,0,0,0.087463557,0.409423933,0.046207162,0,0.44295097,0,0,0,0.60570371,0,0.269475747,0,0,0.269946011,
4920,0,0.009859016,0,0,0,0.040816327,0.567447206,0.046207162,0,0.435313884,0,0,0,0.698241777,0,0.351135065,0.029222677,0,0.287942412,
5698,0.088956665,0.167603273,0.257437071,0.17788905,0.13363401,0.005830904,0.201120529,0.177127455,0.331632653,0.343668856,0,0.503881247,0.074555331,0.050475309,0.133067199,0.122488976,0,0.194355248,0.059988002,
5462,0.953107129,0.009859016,0,0.382132033,0.183746764,0.005830904,0,0.154023874,0,0,0.464646465,0,0.4153797,0.344914613,0,0,0,0.016900456,0.0059988,
2132,0,0.167603273,0.400457666,0,0,0.005830904,0,0.400462072,0.178571429,0,0.161616162,0,0.266269038,0.008412552,0.437220797,0.604278948,0,0.169004563,0.089982004,
6142,0.127080951,0.256334418,0.171624714,0.191066017,0.116929759,0,0.208303405,0.231035811,0.306122449,0.244386742,0,0.544736484,0.117158377,0.016825103,0.237619998,0.138820839,0,0.211255704,0.065986803,
6009,0.05083238,0.236616386,0.228832952,0.17788905,0.175394638,0.005830904,0.186754777,0.300346554,0.280612245,0.313120513,0,0.422170775,0.127809138,0.016825103,0.085543199,0.171484566,0,0.202805476,0.077984403,
5376,0.012708095,0,0,0,0,0.099125364,0.438155437,0.077011937,0,0.435313884,0,0,0,0.588878607,0,0.400130655,0,0,0.221955609,
4495,0.05083238,1.360544218,0,0,0.283972271,0,0.007182876,0,0.433673469,0.122193371,0.050505051,0,0,0.252376546,0,0,0,0.490113233,0,
3444,0.012708095,0.266193434,0.457665904,0,0,0,0,0.361956103,0.178571429,0,0.111111111,0,0.234316754,0,0.541773596,0.579781153,0,0.177454791,0.107978404,
5960,0,0.177462289,0.257437071,0,0,0,0,0.408163265,0.204081633,0,0.161616162,0,0.372776654,0,0.541773596,0.620610812,0,0.236606388,0.089982004,
4781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.847630474,
